#co2, sha, she, nha, nhe
#2.895e16, 0.502, 0.716, 0.772, 0.476
L_S,vl1,vl2
186.739,778.256,860.035
187.327,785.475,868.924
187.917,779.513,878.961
188.507,785.305,883.699
189.098,785.713,881.276
189.69,785.341,887.751
190.283,788.585,862.028
190.877,785.366,905.178
191.473,789.013,891.828
192.069,791.442,893.649
192.666,791.171,882.825
193.264,798.817,887.958
193.863,794.143,864.519
194.463,795.478,884.923
195.063,799.028,893.907
195.665,803.479,879.244
196.268,809.318,896.362
196.872,805.024,877.442
197.476,814.632,895.82
198.082,819.882,862.065
198.688,813.207,892.289
199.296,823.249,856.501
199.904,813.773,922.16
200.513,825.647,904.115
201.123,818.673,904.67
201.735,823.39,922.368
202.346,824.888,924.724
202.959,819.832,899.891
203.573,829.035,923.617
204.187,831.449,916.34
204.803,831.971,882.777
205.419,830.211,931.868
206.036,842.442,921.318
206.654,834.359,931.373
207.273,836.958,938.54
207.893,846.485,925.746
208.513,839.148,929.844
209.135,851.196,949.391
209.757,841.512,908.915
210.38,849.256,945.679
211.003,848.135,946.097
211.628,854.803,911.685
212.253,853.142,955.081
212.879,870.771,933.673
213.506,858.345,951.209
214.134,857.004,965.364
214.762,862.087,946.133
215.391,863.421,954.216
216.021,860.475,977.932
216.651,869.734,935.443
217.283,875.573,974.759
217.915,867.98,957.276
218.547,870.305,975.185
219.18,876.53,958.796
219.814,876.686,952.373
220.449,881.138,994.376
221.084,879.685,958.213
221.72,885.066,984.355
222.357,889.688,955.082
222.994,877.608,948.763
223.632,897.471,992.173
224.27,891.92,996.536
224.909,884.685,950.998
225.548,893.521,1008.94
226.188,912.81,983.484
226.829,889.727,977.412
227.47,891.925,966.604
228.112,910.33,988.743
228.754,908.074,998.588
229.396,898.263,959.233
230.04,904.984,1012.71
230.683,915.24,990.107
231.327,902.685,975.178
231.972,909.445,1014.47
232.617,917.292,1029.19
233.262,895.54,1016.66
233.908,919.017,989.821
234.554,925.269,1038.36
235.201,918.419,993.383
235.848,908.72,1029.98
236.495,926.708,965.362
237.143,924.301,1025.19
237.791,924.242,998.592
238.439,908.207,1027.58
239.088,922.102,1004.48
239.737,918.882,1038.17
240.386,928.55,1006.37
241.036,938.97,1018.01
241.685,920.98,981.316
242.335,912.712,1017.09
242.985,917.345,1010.49
243.636,915.621,1028.3
244.286,928.991,1033.81
244.937,934.371,1007.36
245.588,923.587,980.226
246.239,913.128,1018.13
246.891,917.676,986.866
247.542,917.406,1023.96
248.193,936.1,1037.84
248.845,917.08,974.67
249.497,909.197,994.872
250.148,917.179,1024.85
250.8,921.034,993.111
251.452,924.28,1024.53
252.104,936.645,942.546
252.756,912.713,984.458
253.408,909.005,1009.3
254.059,914.856,1002.77
254.711,916.563,1039.57
255.363,934.932,995.679
256.015,915.349,944.852
256.666,909.511,999.802
257.318,915.277,1015.38
257.969,906.246,1017.19
258.621,921.016,1020.08
259.272,921.392,935.587
259.923,900.571,975.172
260.574,909.758,1004.58
261.224,917.438,998.409
261.875,913.331,1007.35
262.525,913.103,952.933
263.175,905.935,1018.8
263.825,901.516,1002.19
264.475,902.254,985.092
265.124,920.056,997.732
265.773,923.56,959.763
266.422,894.808,956.386
267.07,899.152,994.178
267.718,896.495,1003.38
268.366,889.278,1042.69
269.014,908.159,996.344
269.661,914.239,912.579
270.307,910.346,945.797
270.954,898.984,981.94
271.6,883.526,995.35
272.245,887.818,1011.61
272.891,903.395,987.877
273.535,901.767,932.229
274.18,893.15,936.015
274.823,895.17,977.295
275.467,884.162,986.239
276.11,883.042,975.598
276.752,892.064,1000.98
277.394,902.528,935.578
278.035,884.394,934.123
278.676,882.076,975.442
279.316,887.008,965.197
279.956,877.627,1009.52
280.595,892.647,965.419
281.234,890.251,951.258
281.872,884.204,939.709
282.509,879.741,963.367
283.146,880.004,993.995
283.782,882.121,963.4
284.417,880.919,948.596
285.052,878.499,943.901
285.687,872.162,959.818
286.32,886.246,946.235
286.953,883.055,962.853
287.585,869.689,927.274
288.217,853.293,967.996
288.847,870.237,981.231
289.478,875.912,948.22
290.107,867.678,938.448
290.736,886.002,941.456
291.363,848.563,929.781
291.991,854.365,974.471
292.617,870.498,948.256
293.243,867.327,973.881
293.867,861.387,912.095
294.491,859.63,928.568
295.115,849.984,943.629
295.737,858.499,964.97
296.359,859.919,956.28
296.98,856.778,896.649
297.6,862.104,939.578
298.219,838.661,941.0
298.837,857.079,937.617
299.455,862.032,933.34
300.071,856.046,941.644
300.687,858.664,905.55
301.302,845.504,922.3
301.916,843.218,944.369
302.529,846.324,971.607
303.142,850.645,928.999
303.753,860.053,917.701
304.363,841.813,909.764
304.973,834.714,931.226
305.582,848.624,945.237
306.189,850.049,907.262
306.796,841.773,951.384
307.402,839.145,930.437
308.007,835.922,916.49
308.611,846.975,911.143
309.215,848.105,929.388
309.817,835.318,877.673
310.418,834.953,953.033
311.018,826.291,930.975
311.618,829.069,961.785
312.216,841.274,927.714
312.813,838.666,901.124
313.41,826.116,904.534
314.005,844.361,883.528
314.6,823.642,925.951
315.194,824.26,927.304
315.786,825.241,931.337
316.378,832.694,941.447
316.968,822.254,899.41
317.558,831.002,916.312
318.147,835.007,889.259
318.734,829.27,915.336
319.321,827.64,914.27
319.907,822.02,945.004
320.491,810.909,920.771
321.075,815.479,921.228
321.658,827.528,927.958
322.239,825.713,882.413
322.82,821.607,914.845
323.4,827.433,883.968
323.978,817.279,908.8
324.556,815.197,901.509
325.133,819.863,907.627
325.709,816.781,909.911
326.283,819.845,903.732
326.857,805.647,884.406
327.43,826.194,905.195
328.001,818.012,902.766
328.572,804.957,904.647
329.141,813.153,918.864
329.71,815.55,866.931
330.278,817.798,881.706
330.844,803.977,886.451
331.41,819.916,870.812
331.975,811.32,902.996
332.538,812.936,891.911
333.101,802.75,900.481
333.662,816.802,899.49
334.223,810.343,915.868
334.783,806.061,867.956
335.341,800.783,885.134
335.899,820.434,880.876
336.456,807.056,883.532
337.011,808.794,897.147
337.566,808.567,898.598
338.119,813.24,902.679
338.672,806.721,923.783
339.224,801.693,863.201
339.774,811.905,861.773
340.324,808.891,875.608
340.873,806.833,877.148
341.421,808.547,889.92
341.967,813.237,885.574
342.513,813.172,883.71
343.058,814.24,909.497
343.602,808.47,890.974
344.145,810.157,890.415
344.687,809.934,885.737
345.228,801.948,895.23
345.768,800.037,860.568
346.307,810.064,895.569
