#Cannot add temp
#Cannot add altitude
#Cannot add pressure
#Cannot add geopotential
#Cannot add theta
L_S,vl1,vl2
111.138,703.592,783.169
111.607,702.654,780.894
112.076,701.771,780.886
112.546,700.683,782.149
113.016,699.281,783.115
113.487,698.284,781.563
113.958,697.381,779.153
114.43,695.903,779.167
114.902,694.353,779.055
115.375,693.476,777.073
115.848,692.134,776.004
116.322,691.241,777.193
116.796,690.181,776.47
117.271,688.314,777.22
117.747,686.96,776.776
118.223,685.093,772.946
118.7,684.364,768.314
119.177,684.441,762.774
119.655,683.993,763.928
120.133,682.259,766.237
120.612,681.013,767.9
121.092,679.536,768.215
121.572,678.095,766.995
122.053,677.249,764.776
122.534,677.029,763.201
123.016,676.016,762.698
123.499,675.32,759.954
123.982,673.763,757.056
124.466,673.373,756.29
124.95,672.058,757.599
125.435,670.46,759.939
125.921,671.138,756.65
126.408,670.073,754.754
126.895,669.316,755.178
127.383,669.229,755.98
127.871,668.088,756.551
128.36,667.099,756.702
128.85,664.409,755.42
129.34,664.458,756.425
129.832,664.288,757.378
130.324,663.547,752.848
130.816,663.361,741.93
131.309,662.294,740.192
131.803,661.099,744.961
132.298,660.362,745.643
132.794,658.803,744.025
133.29,658.723,742.507
133.787,657.378,743.291
134.285,656.215,740.596
134.783,654.962,740.666
135.282,654.671,740.968
135.782,652.778,737.659
136.283,651.055,740.992
136.784,651.856,740.97
137.286,652.978,743.173
137.789,653.53,742.971
138.293,653.301,741.529
138.798,651.234,744.707
139.303,650.721,745.547
139.809,649.81,735.788
140.316,648.026,730.207
140.824,644.9,731.181
141.333,647.4,729.969
141.842,648.317,727.077
142.352,647.763,729.982
142.863,647.242,730.476
143.375,645.879,727.563
143.888,646.379,724.221
144.401,645.118,722.441
144.916,643.685,722.572
145.431,642.065,723.385
145.947,641.309,721.284
146.464,640.314,722.154
146.982,639.102,724.044
147.5,640.961,721.405
148.02,642.306,721.914
148.54,643.297,722.727
149.061,644.896,722.329
149.584,644.785,722.174
150.107,643.63,722.129
150.631,641.261,719.633
151.155,641.713,720.492
151.681,640.713,719.737
152.208,638.539,718.551
152.735,638.249,715.342
153.264,638.224,713.106
153.793,638.434,709.692
154.323,639.44,715.908
154.855,640.633,720.878
155.387,640.507,713.716
155.92,640.883,707.253
156.454,639.975,698.661
156.989,639.206,705.507
157.524,638.811,699.243
158.061,641.418,699.302
158.599,642.454,701.891
159.138,642.728,700.828
159.677,641.498,706.13
160.218,642.095,711.738
160.76,644.355,710.864
161.302,644.929,704.189
161.846,644.464,700.099
162.39,645.773,711.083
162.935,647.195,716.582
163.482,646.697,717.597
164.029,647.215,720.072
164.577,648.0,724.282
165.127,649.223,722.792
165.677,651.118,720.465
166.228,650.81,718.589
166.781,651.943,727.53
167.334,652.552,730.268
167.888,652.485,737.306
168.443,652.58,733.596
169.0,652.875,726.966
169.557,654.421,727.664
170.115,655.508,733.284
170.674,656.401,729.312
171.234,657.269,731.717
171.796,657.052,734.234
172.358,657.262,730.055
172.921,659.293,738.744
173.485,660.012,741.205
174.05,660.543,738.056
174.617,662.682,737.494
175.184,664.571,741.115
175.752,664.018,747.758
176.321,667.251,743.502
176.892,667.28,748.577
177.463,668.261,745.483
178.035,669.929,748.764
178.608,670.372,745.568
179.183,673.17,753.021
179.758,674.913,761.598
180.334,672.431,754.732
180.911,674.037,765.854
181.49,673.938,750.06
182.069,674.999,763.672
182.649,676.982,761.973
183.23,679.161,767.316
183.813,678.98,768.291
184.396,680.741,771.873
184.98,681.229,769.011
185.566,681.873,758.746
186.152,684.38,770.307
186.739,682.688,769.953
187.327,684.947,768.15
187.917,691.675,780.424
188.507,689.621,783.043
189.098,691.621,776.055
189.69,694.969,788.815
190.283,691.738,767.772
190.877,699.627,780.575
191.473,698.776,794.235
192.069,702.472,779.912
192.666,701.123,766.669
193.264,711.108,797.491
193.863,703.401,782.657
194.463,705.493,788.155
195.063,713.538,778.815
195.665,717.339,795.856
196.268,711.228,793.088
196.872,713.746,802.286
197.476,726.26,785.245
198.082,720.233,797.198
198.688,725.962,803.024
199.296,727.484,785.602
199.904,727.711,779.985
200.513,729.471,810.954
201.123,735.495,808.299
201.735,734.417,806.683
202.346,733.994,822.217
202.959,740.814,799.367
203.573,738.318,801.507
204.187,748.985,835.123
204.803,746.105,806.407
205.419,750.016,839.752
206.036,752.49,811.545
206.654,750.501,824.301
207.273,756.617,840.714
207.893,761.093,827.244
208.513,760.94,808.288
209.135,756.383,857.077
209.757,774.19,825.028
210.38,767.524,847.924
211.003,766.659,858.149
211.628,768.879,846.592
212.253,769.932,830.161
212.879,778.115,857.674
213.506,782.875,857.51
214.134,780.964,867.898
214.762,785.461,861.711
215.391,785.58,849.635
216.021,782.65,882.477
216.651,792.834,854.717
217.283,796.801,886.246
217.915,792.51,892.872
218.547,797.531,868.481
219.18,796.118,858.154
219.814,795.97,897.852
220.449,802.806,856.392
221.084,801.415,908.014
221.72,818.797,888.813
222.357,811.731,890.753
222.994,807.611,920.356
223.632,821.323,879.921
224.27,828.94,938.868
224.909,816.681,889.442
225.548,815.234,918.577
226.188,836.521,897.693
226.829,824.44,940.218
227.47,817.173,910.467
228.112,833.735,906.096
228.754,843.466,938.804
229.396,839.948,907.875
230.04,833.548,914.899
230.683,855.669,929.36
231.327,832.831,919.725
231.972,831.203,932.443
232.617,855.574,935.917
233.262,853.709,947.871
233.908,846.337,940.588
234.554,855.775,945.472
235.201,859.892,913.878
235.848,852.738,932.446
236.495,867.488,970.996
237.143,869.821,937.218
237.791,863.236,931.734
238.439,859.124,949.554
239.088,869.704,967.967
239.737,863.864,972.95
240.386,872.789,954.873
241.036,880.746,963.855
241.685,881.376,962.342
242.335,862.243,955.514
242.985,873.853,946.274
243.636,890.445,963.362
244.286,880.414,977.835
244.937,881.013,965.421
245.588,880.864,981.559
246.239,877.552,950.474
246.891,879.192,987.444
247.542,902.807,962.959
248.193,892.099,985.121
248.845,882.233,947.826
249.497,874.071,993.317
250.148,897.381,968.804
250.8,895.476,991.096
251.452,901.411,936.503
252.104,894.418,984.727
252.756,882.723,984.321
253.408,887.488,977.37
254.059,893.061,1020.41
254.711,911.221,971.868
255.363,894.559,922.777
256.015,893.036,981.005
256.666,883.742,979.268
257.318,878.836,990.766
257.969,903.874,987.13
258.621,900.192,957.539
259.272,904.262,942.435
259.923,877.073,970.701
260.574,884.656,979.983
261.224,882.982,999.181
261.875,898.891,1012.48
262.525,902.096,921.179
263.175,892.524,935.241
263.825,883.193,990.178
264.475,880.649,969.044
265.124,879.823,993.33
265.773,903.423,986.781
266.422,895.807,950.832
267.07,878.293,939.837
267.718,879.368,983.411
268.366,877.374,966.326
269.014,879.121,979.954
269.661,893.71,974.295
270.307,897.586,931.316
270.954,875.619,923.956
271.6,868.606,968.391
272.245,874.327,1004.11
272.891,884.151,977.959
273.535,885.693,964.151
274.18,884.482,951.793
274.823,863.42,955.869
275.467,878.49,966.981
276.11,876.327,961.647
276.752,876.068,978.958
277.394,887.641,931.534
278.035,856.433,939.902
278.676,868.595,966.145
279.316,884.391,943.718
279.956,872.817,961.283
280.595,884.249,928.183
281.234,857.654,932.159
281.872,847.854,968.65
282.509,869.861,939.024
283.146,868.702,978.9
283.782,879.476,919.988
284.417,871.592,889.559
285.052,851.84,938.479
285.687,849.983,944.236
