L_S,vl1,vl2
14.4781,903.55,1024.59
14.5397,904.048,1019.06
14.6013,913.657,1029.41
14.6628,917.555,1027.98
14.7244,919.523,1022.25
14.7859,916.351,1024.44
14.8474,920.357,1034.27
14.909,916.303,1033.1
14.9705,905.721,1025.38
15.032,907.968,1020.44
15.0934,919.469,1030.93
15.1549,924.647,1031.53
15.2164,926.412,1025.23
15.2778,921.715,1029.8
15.3393,925.507,1044.58
15.4007,920.174,1044.73
15.4621,906.353,1034.78
15.5235,906.333,1030.05
15.5849,915.355,1040.29
15.6463,921.174,1038.37
15.7077,921.766,1030.61
15.7691,918.098,1032.71
15.8304,921.742,1043.78
15.8918,916.126,1042.34
15.9531,904.832,1032.84
16.0144,906.284,1025.79
16.0757,915.429,1032.93
16.137,918.493,1031.01
16.1983,922.101,1023.73
16.2596,918.591,1025.07
16.3209,922.143,1035.63
16.3821,917.419,1033.69
16.4434,906.766,1025.83
16.5046,907.907,1022.25
16.5658,917.093,1030.61
16.627,922.805,1029.82
16.6882,927.998,1024.55
16.7494,922.954,1027.06
16.8106,926.432,1037.69
16.8718,920.062,1035.54
16.9329,907.158,1025.92
16.9941,908.15,1021.34
17.0552,918.707,1030.62
17.1164,923.36,1025.93
17.1775,927.198,1017.98
17.2386,920.791,1019.53
17.2997,923.523,1026.53
17.3608,918.309,1020.49
17.4219,906.049,1012.3
17.4829,908.008,1007.15
17.544,918.545,1016.38
17.605,922.869,1014.58
17.6661,928.584,1009.63
17.7271,920.741,1014.03
17.7881,924.574,1025.88
17.8491,919.733,1025.64
17.9101,905.616,1018.22
17.9711,906.316,1014.17
18.032,916.366,1024.72
18.093,922.081,1025.16
18.154,926.267,1019.23
18.2149,918.612,1022.38
18.2758,922.007,1034.75
18.3368,918.28,1035.93
18.3977,906.155,1027.37
18.4586,907.172,1020.55
18.5194,917.38,1028.28
18.5803,921.734,1026.08
18.6412,924.533,1018.39
18.702,916.844,1019.03
18.7629,920.285,1029.67
18.8237,915.819,1026.06
18.8846,903.329,1017.12
18.9454,903.845,1015.79
19.0062,913.473,1026.24
19.067,918.674,1024.23
